question,answer,crop,state,district,category
asking about the treatment of fever of a cow.,suggested to administer paralgin-np bolus @1 bolus/200 kg body wt. daily for three consecutive days.,,,,
asking for yellow vein mosaic problem,spray rogor @ 1.5 ml per litre of water,,,,
asking about foliar application of fertilizer in cucumber.,?? ?? ??  ??? ? ????? ????? ?? ????? ??????? ?????? ?????? ???.,,,,
asking about the control measure of leaf eating caterpillar on bean,suggested him to spray malathion  50 ec @2ml/lit of water,,,,
asking about the control measure against bud rot disease in coconut.,advised him to prepare bodeaux mixture solution and apply 200-250 ml of this solution to bud portion.,,,,
asking about the fertilizer dose of coriander.,"advised him to apply 5 kg urea,25 kg ssp & 4 kg mop / bigha at the time of land preparation.",,,,
asking about fungal wilt in brinjal,advice him to spray bavistin @ 2gm/litres of water,,,,
application of salt in coconut,explained in details,,,,
asking about butachlor dose,told him spray 2ml/lit of water,,,,
control of eus,adviced to apply cifax,,,,
asking about online filling of some random scheme,recommended to contact department of agriculture since we did not reveived any such instruction,,,,
asking about treatment of caugh in cow.,suggested to administer caflon powder @50 gm thrice daily for five days along with gur.,,,,
asking about the fertilizer requirement in coconut.,"recommended him to apply 1.5 kg urea, 2.5 kg ssp and 2 kg mop per plant per year in 2 split dose in ring method.",,,,
ask about pm kisan samman nidhi yojana information,किसान कॉल सेंटर में कॉल करने के लिए धन्यवाद,,,,
query regarding management of nutrient.,advise to apply urea:ssp:mop @ 25:35:15 kg/bigha.,,,,
asking about the use of green harvest crop booster in cucumber.,advised him to apply green harvest crop booster @ 2 gm / liter of water.,,,,
nutrient deficiency in tomato.,advised to spray tracel-2 or crop booster @ 2 gram/ liter water.,,,,
asking about the control measure of powdery mildew,recommended to spray bavistin 1 gram/lit of water 3 times at 7 days interval.,,,,
asking about control of damping off in cabbage,advice to sprey sprint @ 2gm/l of water,,,,
asking about the control measure against stem borer infestation in seedling stage of sali paddy.,"advised him to dip the root portion of the seedling with chlorpyriphos 20 ec @ 2 ml./litre of water and mix 10 gm urea to it. alternatively , spray chlorpyriphos 20 ec @ 2 ml./litre of water.",,,,
asking about management of rice,suggested him to apply fertiliser like npk powder @ 10gm/lit of water or top dressing with urea@ 4kg/bigha and mop@4kg/bigha mixing with moist soil,,,,
asking about the recommended fertilizer dose for semi dwarf sali rice variety.,"suggested that the recommended fertilizer dose is like-urea@ 12 kilogram / bigha,ssp @ 18 kilogram / bigha,mop @ 4 kilogram / bigha,compost @ 2-3 quintal/ bigha",,,,
telling that he wants to cultivate ridge gourd in a land of 2 bigha. asking that is there any treatment which can have a beneficial effect against the bitterness of ridge gourd.,"suggested mr. goswami to dip the seeds of ridge gourd overnight in a solution @ 4 mili litre of succinic acid per 50 litres of water .the very next morning to percolate from the water and then to go for sowing. also suggested that whenever first female flowers are seen,to spray on the leaves the same suggested solution.",,,,
asking about the helopestis attact on tea,apply decis @1ml/2 litres of water,,,,
asking about the control measure against fruit fly infestation in cucucmber and pumpkin,advised him to spray malathion 50 ec @ 1 ml./litre of water and also mix 10 gm gur to it.,,,,
asking how to control citrus canker,application of bordeux mixture around the plant,,,,
facing the problem of spindle rot in coconut,adviced to apply bavistin @ 2 gm per liter of water,,,,
asking about the control measure for late blight in tomato,recommended to spray ridomil gold @ 2 gram/lit water 3 sprays at 5 days gape.,,,,
asking for control of cut worm,recommended him to apply malathion 5% dust @ 4 kg per bigha,,,,
asking about the training on floriculture,"suggested to contact nearest krishi vigyan kendra or deartment of agriculture, govt. of assam",,,,
asking about thetreatment ofpig,answer is given in  detailed,,,,
asking about leaf curling in chillies,advice him to spray tubgor @ 2ml per litres of water,,,,
control measure of eus,apply cifax @ 125 ml /bigha,,,,
asking about control measure of bacterial leaf spot in betel vine.,suggested to give 4 sprays  of streptomycine(1.0%) along with bordeaux mixture (0.5%) at 20 days interval after initian of the disease.,,,,
asking about the treatment of white diarrhoea in poultry.,suggested to fed tetracycline powder@5 gm per 5 lit. of water for 5 days.,,,,
defficiency in pointed gourd,spray mahaphal @2ml/lit,,,,
asking for growth promoter,spray miraculam @ 2 ml per litre of water,,,,
query regarding paddy management,explained details,,,,
asking about the control of rot in cauliflower,recommended to spray blitox 50 @ 1 gram per litre of water 2-3 times at an interval of 5 days,,,,
asking about the cultivation practices of rubber.,given in details regarding the package of practices.,,,,
query regarding fertilizer dose of mustard,"suggested 18kg urea , 30 kg ssp and 9 kg mop",,,,
asking about stocking ratio of fish,"recommended to stocking 3:4:3 of catla ,rohu ,mrigal",,,,
asking about the control measure against purple blotch in onion.,advised him to spray bavistin @ 2 gm./litre of water.,,,,
asking about the control measure of wilt on potato,suggested him to spray agrimycine @1gm/lit of water,,,,
query regarding micro nutrient,advised to apply multiplex citrus @ 2ml/lit,,,,
query regarding blight infection in tomato,recommended to spray ridomil z 72@ 2gm/l water,,,,
asking about the control measure for citrus shoot borer in lemon,recommended to dip cotton in tricel 20 ec solution and plug it in the holes and mud pluster it and also spray tricel 20 ec @ 2 ml/lit water.,,,,
asking about treatment of anorexia in cow.,suggested to administer h.b.strong @ 10 gm twice daily for five days.,,,,
asking about the micronutrient in rice,suggested him to spray paddy special @ 2gm/l of water,,,,
ask about grafting method,"--told him that during the dormant season (late winter), cut new-growth scions with buds on them. refrigerate scions in plastic bags until spring. scion and rootstock should be about the same diameter. make four 3-inch vertical incisions through the rootstock's bark, starting at the top   prepare the scion. ... connect scion and rootstock. contact no of dr dhirendra nath kalita of kvk kamrup 9435044574 for training purpose",,,,
asked about application of lime in 2hac water area.,advised him to apply 300-400 kg of agricultural lime per hac water area in year.,,,,
asking about the amount of urea and mop to be top dressed in sali paddy at the time of panicle initiation stage.,"advised him to top dress urea @ 4kg, and mop @ 2 kg per bigha at the time of panicle initiation stage.",,,,
control measure of pest in ridge gourd,spray malathion 50 ec @ 2ml / liter water,,,,
asking about the remedy for flower dropping in brinjal,"recommended to spray planofix(naa),1 ml/10 lit water",,,,
query regarding nutrient management in paddy.,advise to apply urea:ssp:mop @ 18:27:6 kg/bigha and urea should be apply in split doses.,,,,
asking about the control of wilt in brinjal,advised to spray streptocyclin/plantomycin @ 1 gram / 15 -20 litres of water at 15 days interval,,,,
query regarding control of athracnose and stalk end-rot in mango,pre-harvest spraying of mancozeb 2g/lit or carbendazim 1g/lit  3 times at 15 days interval will control anthracnose and stalk end-rot,,,,
asking for fer dose of potato,"recommended him to apply 15 kg dap, 12 kg urea, and 11 kg mop per bigha",,,,
asking about control of oxygen depletion in fish pond,adviced to use 'o2 max' capsule @ 1 number in half bigha of pond water,,,,
asking about chilli fertilizer does in chilli,"recommended that application of urea@16kg,mop@8kg,sp@10kg,seed treatment with captaf",,,,
asking about blight problem in potato,suggested to spray indofil m-45 @ 2gm/litre of water.,,,,
asking about fertilzer dose,"advice to apply urea=18 kg,ssp=27 kg,mop=3 kg,borax=1.5 kg/bigha",,,,
query regarding management of nutrient.,advise to apply urea:sssp:mop @ 1.5kg:1kg:750g/plant.,,,,
asking for fert dose of tomato,"recommended him to apply 15 kg urea, 18 kg dap and 13 kg mop per bigha",,,,
asking about the fungal wilt in chilly,advice him to spraybavistin @ 2gm 1litres of water,,,,
asking about fruit drop,advice to spray tracel 2 @ 2 gm/l water,,,,
asking about argulas disease of fish,recommended that application of potassium permangnate(kmno4)@700gm/bigha,,,,
asking about application of zinc and sulpher in toria,please spray 5 gram/liters of water  2 times at 10 days interval in the evening time.,,,,
asking about the control of fruit fly in spine gourd.,suggested to apply malathion 50ec @ 2 ml per litre of water.,,,,
asking for controll of termite in bamboo field,drench the soil with classic-20 @ 3 ml per litre of water,,,,
asking about the control of yellow stem borer in rice,told him to spray tricel 20 ec @ 2ml / l of water,,,,
asking about the control measure to control root rot disease in chilli.,suggested to apply captan@2.5gram/liter of water.,,,,
asking about mortality of fish due to heavy plankton bloom,told him to stop applying cowdung for some days and apply copper sulphate or 2-4-d @ 150 ml/bigha and 200gm/bigha respectively and then apply lime after few days@ 5kg as per the volume of the pond told by the farmer.,,,,
asking about planting distance of host plant of muga silkworm,recommended to plant the seedlings at a distance of 6 m x 6 m,,,,
control measure of fusarium wilt,spray blaitox 50 ec @ 1 ml/5ltr water,,,,
query regarding management of fruit borer.,advise to spray malathion @ 2ml/lt of water.,,,,
querry regarding fruit fall in coconut,recommended to apply borux @ 50gm/tree of coconut,,,,
asked about precaution for leaf blast in paddy,advised him to apply bavistin @2gm per litre of water,,,,
asking control of bacterial wilt in king chilli,apply plantomycin @ 1 gram per 10 litres of water,,,,
query regarding ussd service,please dial *491*103#,,,,
pseudostem borer in banana,adviced to apply malathion 50 ec @ 1ml per liter of water,,,,
asking about the nutrient mangement,application  of trecel 2 @ 2.5 ml per litre of water,,,,
asking about the fertlizer dose for paddy,suggest him to top dress 7 kg of urea per bigha of land,,,,
fertilizer requirment in potato as basal dose,"apply urea 19 kg, ssp 45 kg, mop 12 kg and cowdung 2 quintal per bigha as basal dose",,,,
query regarding dairy farming,"selection of breed , feed cost , electricity& water supply , labour cost  medicine , construction of shed etc are the parameters for successful farming",,,,
asking about the control measure to control anthracnose disease in chilli.,=suggested to apply dithane m-45@2gram/liter of water.,,,,
fertilizer dose for potato,"adviced to apply 19kg urea, 45kg ssp, 12kg mop and 2q compost manure",,,,
asking that where to avail kisan credit card facility.,suggested to contact with nearest nationalized bank(agriculture filed officer/mro) located in his area.,,,,
asking about the fertilizer application in paddy,suggested to apply urea @ 4kg/bigha at the time of panicle initiation,,,,
asking about the treatment of diarrhoea in a goat.,suggested to administered mebex tablet @1 tablet at empty stomach for three days.,,,,
asking about the aphid control measure,advised to spray tatafen 2ml/lit of water,,,,
asking about the control measure of fruit rot in bitter gourd,suggested him to spray saaf @2 gm/lit of water,,,,
asking about control measure of late blight of potato.,suggested to spray immidiately indofim m-45 @ 2.5gm/liter of water at seven days interval.,,,,
asking for control of leaf rot in betlevine,recommended him to apply bordaux mixture,,,,
asking about the control measure against epilachna beetle infestation in bottle gourd.,advised him to spray malathion 50 ec @ 2 ml./litre of water.,,,,
seeking a rice reaper machine on govts. subsidy scheme,advised to visit dist. agril. office,,,,
control measures of leaf curl of chilli,advice to spray rogor @ 2 ml/l water,,,,
asking about the maturity index of banana,floral remnants will disappear and ridges will disappear.,,,,
asking for better goat var availibility in assam,"suggested him to go to barnihat,meghalaya",,,,
asking about dose of mustard special,"spray mustard special @  2gm/litre water,2 sprays at an interval of 15 days",,,,
asking about the control measure for leaf curling in king chilli.,recommended to spray rogor 35 ec @ 2 ml/lit water.,,,,
query regarding antracnose,advised to apply blitox @ 2gm/lit,,,,
asking about the control of blight,indofil m-45 @ gram/litres of water,,,,
asking about the cultivation practices of krh-2 rice variety,given in details,,,,
asking about sowing time of soybean,sowing time of soybean is may - june,,,,
asking about the fertilizer requirement of potato,"recommended to apply 9 kg urea per bigha after one month of planting
also spray npk ( multiplex company) @ 2 ml per litre of water  after 1 and half month",,,,
askinga about treatment of maggoted wound.,suggested to spray topicure spray over the affected area thrice daily.,,,,
"problem of aphids in ridge gourd,",advised him to apply rogor 35 ec @ 2 ml / liter of water..,,,,
asking about the early variety of cabbage,"suggested him to select the early variety of cabbage like golden acre, pride of india,pusa mukta etc.",,,,
asking about the fertilizer dose for banana.,"advised him to apply 120 gm urea,210 gm ssp & 275 mop.",,,,
asking about procurement of mushroom spawn,"visit kvk ,kokrajhar for further assistance regarding spawn production
dr. m. k bhuyan (head)
phone: 9435084843/8638223072",,,,
stem borer in paddy,adviced to apply chloropyriphos 20 ec @ 2 ml per liter of water,,,,
asking about the plant protection in potato,spray malathion 50 ec @ 2ml/1 lit.of water,,,,
query regarding rice varrietes,advised to grow  arize 6444,,,,
asking about the fertilizer dose for potato,"recommended to apply urea 19 kg/bigha in 2 split doses,ssp 45 kg/bigha,mop 12 kg/bigha.",,,,
asking for plant protection of squash plants,do ooze test (dip the effected part in a glass of water and keep for 45 minutees). if ooze comes out then spray streptomycin (1ml/5 lit of water) @ 3 sprays at 5 days interval and if ooze don’t show in the water then spray saaf (2gm/lit of water) @ 3 sprays at 5 days interv,,,,
asking about thje age age of castration in goat.,the proper age of castration in case of goat is 2-3 month of age.,,,,
asking for control of rust in cowpea,recommended him to spray calixin @ 1 gram per litre of water,,,,
asking about the control of immature fruit drop in coconut,advised to apply recommended fertilizer dose along with borax @ 50 gram / plant/ year,,,,
asking about vitamin,recommended him  to apply  mahafal @ 2g/lit of water spray 3 time 15 days interval,,,,
query regarding deficiency in pumpkin,spray npk @ 10g/l of water for two times at an interval 15 days,,,,
leaf curl,spray rogor 50 ec @ 2ml mixed with one litre of water,,,,
asking about kisan credit card.,described about kisan credit card and suggested to approach nearest bank.,,,,
asked about the control measure of brinjal shoot and fruit borer.,suggested to spray the crop with malathion 50 ec @ 2ml per liter of water.,,,,
asking about treatment of diarrhoea of cow.,suggested to administer neblon powder @ 50 gram twice daily for five days.,,,,
planting time of summer vegetables.,"summer vegetables like summer squash , bottle gourd, ridge gourd, beans planting time start from 15 feb of a year.",,,,
asking about the dewormer of a goat.,suggested to administer albomar liq@ 1 tsf orally at empty stomach and liv 52 liq @ 1 tsf orally twice a day for three consecutive days.,,,,
liming schedule,explained in detail,,,,
asking about the control of root weevil in rice,told him to spray tricel 20 ec @ 2ml / l of water,,,,
--asking about where to visit for the registration of pradhan mantri fasal bima yojana,"told him to visit common service centre, bank or  district agriculture office with pan card, voter card, land details, bank passbook, sowing certificate. last date of registration is 31st december for rabi crops and rate of premiuim is 1.5%.",,,,
asking about financial assistance for farming.,suggested to contact with nearest nationalised bank for loans and finances.,,,,
asking control measure of shoot borer pest attack in sugarcane cultivation,spray chlorpyriphos 20 ec(tricel) @ 2 ml per litre of water,,,,
asking about the cultural practices in arecanut,"told him to planting distance - 2.75m *2.75m
pit size -60cm *60cm *60cm",,,,
asking about the financial assistance for dairy farming.,suggested to contact with nearest s.b.i.branch for loans & finances .,,,,
asking for control of stem rot,recommended him to apply bardoux mixture,,,,
control measure of late blight in potato and tomato,spray indofil m 45 @ 2.5 / lit weekly,,,,
asking about the control of fungal infection of mustard.,"consult with nationalized bank. submit proper documents. after document verification, if found eligible, kisan credit card will be issued for you.",,,,
asking about pm kisan installment.,3rd installment payment stoped by state on request of districts. beneficiary is inactive due to inelegibility,,,,
asking about control measure of swarming cater pillar,recommended that application of ustaad @5ml/lit for spray,,,,
asking about the pest control,explain in details,,,,
asking about blight,adviced to spray ridomil mz 72 @ 2 gm per litre of water,,,,
control measure of fruit borer in sponge gourd,spray 'fluton @ 1 ml per 2 litres of water,,,,
asking about reason of fish death,apply lime 10-12 kg per bigha or give 5 kg 3-4 days interval,,,,
wanted to know the harvesting time of jute,advice to harvest the jute crop during august 1st week.,,,,
asking about the insect problem of jute for fibre  crops,"suggested him to apply insecticide ustaad@2ml/l of water ,3 spray 5 days interval, apply in morning or evening",,,,
query regarding control measures of blight in potato,recommended to spary redomil gold @ 2 ml per litr of water,,,,
asking fishery prob.,forwardwd,,,,
asking about treatment of retaintion of placenta.,suggested to administer exaper liquid @ 100 ml twice on trhe first day and then repeat the same dose once daily for next three consecutive days.,,,,
query regarding control measures of leaf curling in tomato,recommended to spary rogor @ 2ml per litr of water,,,,
asking for use of fert,"apply 750 gram urea, 1250 gram ssp, 875 gram mop and borax 25 gram per plant by ring method twice in a year",,,,
aphids in bhindi,spray tafgor @ 2ml/lit of water,,,,
asking about pm kisan maan dhan yojna,"pm kisan maan dhan yojana

rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details.

for further details contact vle of common service center",,,,
package of practrice,explained in details,,,,
asking control measure of powdery mildew in papaya,apply sulfex gold @ 2 gram per litre of water,,,,
asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting.",,,,
want to know  details about fertilizer requirment in ranjit rice,"adviced to apply urea 9 kg, ssp 17 kg and mop 9 kg per bigha",,,,
control measure of late blight disease in potato.,advised to apply mancozeb @ 2.5 gram / litre of water at 10-12 days interval.,,,,
asking about the control of pod borer in pea,suggested him to spray desis @ 2ml /l of water,,,,
asking how to go for seedlings root dip treatment of rice,the uprooted seedlings are washed and then the root portion is dipped in the solution of chlorpyriphos(1 ml or 2ml / litre of water) along with urea @ 10 gram for 3 hours for root dip treatment of rice seedlings,,,,
query regarding genoderma of coconut,advised to spray captan @ 3gm/lit water or bevistin @ 2gm /lit,,,,
asking about kisan credit card,--contact  the nearest nationalized bank for further detail,,,,
query regarding decrease milk production of a goat,calcium supplement with the the diet,,,,
asking about the control measure against stem rot in cucumber .,advised him to spray bavistin @ 2 gm./litre of water.,,,,
asking about the availability of pumpkin seeds in matrigaon district.,advised him to contact with the district agriculture office.,,,,
asking about the control of insect in potato,suggest him to apply malathion 50 ec @ 2ml/lt of water.,,,,
asking about the chemical to control pest,application of tricel @ 1-2 ml/litre,,,,
weed problems in tea,spray glyphogan 1l/200 l,,,,
asking for the fertilizers dose to be applied in the 12th year stage of coconut trees.,"1.5, 2.5, 1.75 kilo grams of urea, ssp and mop respectively has been advised along with 25 grams of borax and 200 grams of coconut special powder. suggested dose of urea,ssp and mop to be applied in two equal split doses. once in april and then in october to a trench of 30 cm width and 10 cm depth and at a radius of 1 to 1.75 metre away from the trunk depending upon the age of the plant. also advised that after application, it should be covered by green leaves and then by soil.",,,,
asking about the control measure for fruit fly,recommended to spray malathion 50 ec 2 ml/lit mix gur 10 gram 3 times at 5 days interval,,,,
root rot of brinjal,advised to spray  bavistin or saaf @ 2 gram/ liter water,,,,
asking about kisan credit card,"contact nationalized bank with bank passbook, id, land documents etc.",,,,
asking about treatment of wound in cow.,suggested to keep the wound clean and then spray scavon spray on the affected area twice daily.,,,,
control measure of fungal wilt of bean,spray ‘bavistin’ @ 2 gm per litre of water,,,,
want to know about variety of boro paddy,explained in detail,,,,
asking about micronutrient requirement for bhindi,spray ‘tracel -2’ @ 2 gm per litre of water,,,,
query regarding decrease milk production,increase calcium supplement in diet,,,,
regarding problem of sheeth blight disease in paddy crops,recomended to apply saaf or bavistin @ 2 gm per litre of water,,,,
asking  that what amount  of planofix should be applied to control flower drop problem of litchi.,suggested to spray planofix@5ml/50 liters of water and also to apply recommended fertlizer dose.,,,,
asking for some good variety names of black gram suitable & recommended for cultivation in his zone.,"t 9, t 27, pant u 19, t 122 etc. have been replied as some good variety names of black gram suitable & recommended for cultivation in his zone.",,,,
asking about the information of pure breed of pig.,"suggested to contact the farm manager ,pig research station,rani.",,,,
wanted to know the names of varities of mustard,"advised to use m-27 ,ts-36, ts-38 , ts-46 or varuna",,,,
betraceda and trratheba of coconut,advised to spray rogor 35 ec 2 2 ml/ litre water,,,,
control measure of anthrac nose in betel vine,apply blitox 50ec @ 2 gm/5ltr water,,,,
querryregarding rhizome rot in ginger,recommended to spray indofil m 45 @2.5 gm/l water,,,,
asking about sowing time of bitter gourd,suggested sowing time as oct-november,,,,
asking about fertilizer dose.,"for paddy(dhan): compost/fym- 1.5 tonne/bigha, urea- 6kg/bigha, ssp- 8kg/bigha, mop- 2kg/bigha.
apply urea in 2-3 splits.",,,,
asking about the micronutrient use in brinjal,suggested him to spray multiplex mahaphal @ ml/liter of water,,,,
asking about control measure of yellow stem borer in rice,told him to spray tricel 2ml/lit of water,,,,
asking about the control of  borer in paddy,suggested him to spray tricel 20 ec @ 2ml/liter of water,,,,
query regarding oxygen depletion in pond,advice him to splushing of water through bamboo stick,,,,
"asking for the phone number of kvk, golaghat district.",given in details.,,,,
query related to control of eus,explained in detail,,,,
farmer asking query regarding control of yellowing of leaves.,spray ridomil gold (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.,,,,
query regarding lacrimation from an eye of bubuli ( dog ),"apply eyegel over the affected eye, bid",,,,
asking for basal dose of fert for paddy,"recommended him to apply 9 kg urea, 17 kg ssp and 10 kg mop per bigha at the time of final land preperation",,,,
askinga about stem borer,recommended to spray tricel 20 or classic 20 @ 2ml/l water at 5 days interval,,,,
asking cultural practices of bitter gourd,explain details,,,,
mulching of chillies,recommended him to apply black polythene,,,,
asking about the control of wasp attack in cow pea,advised to spray malathion 50 ec @ 2ml per litre of water,,,,
asking about seed treatment in ginger,treat with mancozeb (3gm/lit of water) for 1 kg seeds,,,,
rice stem borer,spray chloropyriphos @ 2ml/lit,,,,
asking about the variety of rapeseed and mustard and feertiliser dose and crop booster,"advice grow m-27 duration of 90-95 days giving 1.6 quintol /bigha yield and fertiliser of 12 kg/bigha of urea, 30 kg/bigha of ssp, 3 kg/bigha and crop booster,, green harvest @25g/10 liter of water",,,,
query regarding   cattle farming,housing    / selection of breed / feedcost / water & electricity supply/ utensil & appliances / medicine & vaccine / site & location of the farm,,,,
asking for use of growth promoter,spray tracel-2 @ 2 gram per litre of water,,,,
asking about the cultivation practices of wheat.,given in details.,,,,
asking about the control measure for swarming caterpillar in paddy,recommended to apply malathion dust along the border and spray decis 2.8 ec 3 ml/lit water or ustaad 3 ml/lit water,,,,
insect problem,spray desis or malathion 50 ec @2 ml mixed in one litre of water,,,,
asking about the control measure to control leaf eating caterpillar in chilli.,suggested to spray malathion 50ec@2mililitre/litre of water.,,,,
asking about control measure of septoria leaf spot,recommended to spray saaf @ 2 g per lit of water or captaf @ 2 g per lit of water,,,,
stem borer problem in rice nursery,spray dursban @ 2ml/litre of water,,,,
asking about the fertilizer dose for 2 yrs coconut plant.,"advised him to apply 10 kg cowdung,120 gm urea,200 gm ssp & 160 gm mop in 2 split doses i,e march april & september october.",,,,
asking about poultry farm,transfer to vety. expert,,,,
asking about coconut pest problem,tricel 2ml/l,,,,
query regarding cultural practice of ranjit paddy variety,detail practice explained,,,,
asking about control measure of fruit fly,suggested to spray rogor @ 2ml per lit of water,,,,
asking about to get high yielding variety of sali rice.,suggested mr saikia to approach concerned scientist of krishi vigyan kendra of shilongani agricultuaral research station.,,,,
query regarding govt scheme for piggery training,visit district veterninary office/ krishi vigyan kendra (silapathar) for the details of govt schemes,,,,
asking about treatment of bloat in cow.,suggested to administer afanil liq.@ 100 ml at a time and repeat the same dose after 6 hour.,,,,
asking about pm kisan samman nidhi yojona.,please update your adhar number in your registration form,,,,
asking for the control measure against leaf eating caterpillars in cauliflower.,'malathion 50 ec' solution @ 1.5 milli litres per 1 litre of water has been suggested to spray on the standing crop for 2 times at an interval of 7 days as the control measure against leaf eating caterpillars in cabbage crop cultivation field.,,,,
asking about control of rice tungro disease,recommended him to apply chloropyriphos @ 2ml/lit (tricel 20 ec),,,,
asking about the govt. schemes,advised to contact ado,,,,
wanted to know the amount of fertilizer required in one bigha of b0ro rice,explained in detail,,,,
asking about the control measure of wilt in brinjal,suggested him to spray steptomycine 1gm/10 lit of water,,,,
asking about the cultivation practices of chilli,explain in details,,,,
rainfall(mm) prediction in lakhimpur district,"rainfall(mm) predicted to be 0,0,6,4 and 0mm for the coming 5 days i.e 30 to 4 th of september",,,,
asking about micronutrient requirement,adviced to spray green harvest crop booster @ 2 gm per litre of water,,,,
asking for the control measure against leaf eating caterpillars in pumpkin.,'malathion 50 ec ' solution @ 2 milli litres per litre of water has been suggetsed to spray as the control measure against leaf eating caterpillars in pumpkin.,,,,
asking for control of pseudostem borer,recommended him to apply furadon,,,,
asking about control measure swarming catterpiller,told him spray desis 4ml/lit of water,,,,
want to know about control measure crown chocking in coconut,adviced to apply borax @ 50 gm per plant,,,,
asking about the amount of urea to be top dressed in brinjal.,advised him to top dress urea @ 8 kg per bigha after 30 days of planting. spray tracel-2 @ 2 gm./litre of water.,,,,
want to know basal dose of fertilizer in paddy as basal dose,"apply urea 9 kg, ssp 17 kg and mop 9 kg per bigha as basal dose in paddy",,,,
asking about current agriculture schemes for farmers.,"contact the agriculture department through panchayat and gram sewak. pm kisan, kisan credit card, and pm fasal bima yojana  are the current schemes running under agriculture department.",,,,
asking about fertilizer doses of coconut,explain in detail,,,,
asking about the fungal disease in tomato,application ridomill  mz 72 @ 2 ml per litre of water,,,,
asking about feeding method and fertilization of fish pond,recommended to apply fertilizer cowdung@100kg/bigha/month after 10 days of cowdung application urea @10kg/bigha/month and single super phosphate@20 kg/bigha/month.feeding riceburn and mustard oil cake apply 2:1 ratio keeping in gunny bag tied with bamboo.,,,,
asking about goat farming,explained in details,,,,
control measure of blight in tomato,spray 'indofil m 45' @ 2 gm per litre of water,,,,
asking about the control of algea,explain indetails,,,,
asking about the vitamin requirement in pumpkin.,apply green harvest allcrops @ 2gm/litre of water.,,,,
panama desease,advised to spray bavistin @1 gram/ litre water,,,,
asking about control of aphid in coe pea,advice to apply rogor @ 2ml/l of water,,,,
query regarding late blight of  potato,advised to apply ridomil gold @ 2gm/lit,,,,
asking about some micronutrient name for mustard,you are advised to apply green harvest crop booster @ 1.25 litre of water,,,,
asking control of fruit fly attack in bottle gourd,spray malathion 50 ec @ 1 ml per litre of water,,,,
asking for vet expert,do as the doctor adviced you,,,,
asking control of fruit fly attack in spine gourd,spray malathion 50 ec @ 2 ml per litre of water,,,,
nutrient deficiency in brinjal.,advised to spray tracel-2 @ 2 gram/ liter water.,,,,
query regarding micronutrient for potato,advised to spray multiplex potato special @ 2gm/l of water,,,,
query regarding  a goat  showing the signs of bloat,told him  to give bloatosil as ditected /    electro lyte orally / floraboost bolus orally as directed,,,,
asking about kisan credit card,told him the helpline number 01123381092/01123382401,,,,
asking about weedicides for his barren lands,suggested to spray glycel @ 3ml/litre of water,,,,
asking about the fertilizer dose of sali paddy.,"advised him to apply urea 3 kg, dap 6 kg, mop 2 kg per bigha at the time last land preparation. top dress 3 kg urea after 30 days of transplanting. again top dress 3 kg urea, 2 kg mop at the time of panicle initiation stage.",,,,
asking about pm kisan samman nidhi yojona.,--details are not registered in the portal or rejected due to wrong details.please wait for same days,,,,
control measures of tuber moth,advice to spray malathion 50 ec @ 2 ml/l water,,,,
asking about the insect problem in paddy [seedling],explained in details,,,,
asking about pm kisan maan dhan yojana,"pm kisan maan dhan yojana rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details. for further details contact vle of common service centre
contact no.  ikramul islam		9957241181
                          pranjal gohain	vill.: sonari goan, gp : dikrong, block : karunabari, p.o. : dongibil, dist. : lakhimpur, assam - 78	
                          phone no.  9613121804",,,,
asking about availability of banana planting material,gave him the contact no.of dr.p.k bordoloi(k.v.k darrang)- 9435490748,,,,
feed and feeding for fishes,feed with mixture of rice bran and oilcake mixed @ 1:1,,,,
asking about rainfall data,explain according to imd report,,,,
asked about government pension scheme,"pm man dhan yojana - pm kisan maan dhan yojana rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details.
and pm fasal bima yojana - for rabi and kharif crops
contact common service agent -
1. manoj pandey	s/o sarju pandey, vill & p.o- lalamookh, hailakandi, pin- 788164--	9435179417
2. subinoy deb	c/o- sujit kr deb, p.o. & vill- aynakhal---	9613586783",,,,
asking about the control measures of crown rot of coconut,"suggested to apply borax @25 gm per plant , in ring methon",,,,
asking about the control measure against bacterial wilt in brinjal.,advised him to drench the soil with streptomycin or agrimycin @ 1 gm. in 10 litres of water.,,,,
